medianame	source_url	domain	country	bias	factual
Shondaland	https://www.shondaland.com/	www.shondaland.com	USA	left	mostly factual
The Daily Climate	http://www.dailyclimate.org/	www.dailyclimate.org	None	leftcenter	high
Salt Lake Tribune	http://www.sltrib.com/	www.sltrib.com	None	leftcenter	high
Nos Comunicamos	http://noscomunicamos.com/	noscomunicamos.com	None	extremeright	questionable source
The Age (Australia)	http://www.theage.com.au/	www.theage.com.au	None	leftcenter	high
Patriot News Daily	http://patriotnewsdaily.com/	patriotnewsdaily.com	USA	right	mixed
Arutz Sheva (Israel National News)	http://www.israelnationalnews.com/	www.israelnationalnews.com	None	rightcenter	high
Liberals Unite (Samuel Warde)	http://samuel-warde.com/	samuel-warde.com	None	left	mixed
MyNorthwest	http://mynorthwest.com	mynorthwest.com	None	rightcenter	high
Oyez Project	https://www.oyez.org	www.oyez.org	None	center	very high
Subject Politics	https://subjectpolitics.com/	subjectpolitics.com	None	extremeright	questionable source
Everytown for Gun Safety	https://everytownresearch.org	everytownresearch.org	USA	left	mixed
Political Critique	http://politicalcritique.org/	politicalcritique.org	None	leftcenter	high
World Politics Review	http://www.worldpoliticsreview.com/	www.worldpoliticsreview.com	None	center	high
America Rising PAC	https://americarisingpac.org/	americarisingpac.org	USA	right	high
The Stranger	http://www.thestranger.com/	www.thestranger.com	None	leftcenter	high
NextGov	http://www.nextgov.com/	www.nextgov.com	None	center	high
GoodGopher	http://www.goodgopher.com/	www.goodgopher.com	USA	right	very low
Ceasefire Magazine	https://ceasefiremagazine.co.uk/	ceasefiremagazine.co.uk	United Kingdom	left	high
Left Action	http://leftaction.com/	leftaction.com	USA	extremeleft	low
The New American	https://www.thenewamerican.com/	www.thenewamerican.com	USA	right	mixed
Rock Hill Herald	https://www.heraldonline.com/	www.heraldonline.com	USA	leftcenter	high
Center for Freedom and Prosperity	http://freedomandprosperity.org	freedomandprosperity.org	USA	right	mixed
CBC News (Canadian Broadcasting)	https://www.cbc.ca/news	www.cbc.ca	Canada	leftcenter	high
Emirates 24/7	http://www.emirates247.com/	www.emirates247.com	None	leftcenter	high
NewsBreaksHere	https://newsbreakshere.com/	newsbreakshere.com	None	extremeright	questionable source
Accuracy in Academia (AIA)	https://www.academia.org	www.academia.org	USA	right	mixed
The Reality-Based Community	http://www.samefacts.com/	www.samefacts.com	None	left	high
PinkNews	https://www.pinknews.co.uk	www.pinknews.co.uk	United Kingdom	left	mostly factual
The Atlantic	https://www.theatlantic.com/	www.theatlantic.com	USA	leftcenter	high
Duluth News Tribune	https://www.duluthnewstribune.com	www.duluthnewstribune.com	USA	center	high
NowThis News	https://nowthisnews.com/	nowthisnews.com	USA	left	mixed
Committee for a Responsible Federal Budget	http://crfb.org/	crfb.org	None	center	very high
St. Paul Pioneer Press	http://www.twincities.com/	www.twincities.com	USA	leftcenter	high
The Des Moines Register	https://www.desmoinesregister.com/	www.desmoinesregister.com	USA	center	high
Army Times	https://www.armytimes.com	www.armytimes.com	USA	center	high
Roosevelt Institute	https://rooseveltinstitute.org/	rooseveltinstitute.org	USA	leftcenter	high
Middle East Monitor	https://www.middleeastmonitor.com/	www.middleeastmonitor.com	United Kingdom	left	mixed
Dallas Voice	http://www.dallasvoice.com/	www.dallasvoice.com	None	left	high
First Post	http://www.firstpost.com/	www.firstpost.com	None	left	high
Intrepid Report	http://www.intrepidreport.com/	www.intrepidreport.com	USA	left	mixed
Biloxi Sun Herald	None	None	USA	center	high
Action News 3	http://actionnews3.com	actionnews3.com	Unknown	None	very low
USA News/Politics USA News	http://politicsusanews.com/	politicsusanews.com	None	extremeright	questionable source
The Varsity	https://thevarsity.ca/	thevarsity.ca	None	leftcenter	high
Heterodox Academy	https://heterodoxacademy.org	heterodoxacademy.org	None	rightcenter	high
Philadelphia Inquirer	https://www.inquirer.com/	www.inquirer.com	USA	leftcenter	high
Albany Times-Union	https://www.timesunion.com/	www.timesunion.com	None	leftcenter	high
Supreme Patriot	http://supremepatriot.com/	supremepatriot.com	None	extremeright	questionable source
Liberal Examiner	https://www.liberalexaminer.com/	www.liberalexaminer.com	None	left	mixed
Experience Awareness (abcbusinessnews.com)	http://www.abcbusinessnews.com	www.abcbusinessnews.com	USA	right	very low
Institute for Historical Review	http://ihr.org/	ihr.org	None	extremeright	questionable source
NPR (National Public Radio)	https://www.npr.org/sections/news/	www.npr.org	USA	leftcenter	very high
Texas Tribune	https://www.texastribune.org/	www.texastribune.org	USA	leftcenter	high
International Organization for the Family (IOF)	http://profam.org	profam.org	USA	extremeright	questionable source
Healthcare Finance News	http://www.healthcarefinancenews.com/	www.healthcarefinancenews.com	None	center	high
Dutch Review	https://dutchreview.com/	dutchreview.com	None	leftcenter	mixed
Phoenix New Times	http://www.phoenixnewtimes.com/	www.phoenixnewtimes.com	USA	leftcenter	high
Newsguard	https://www.newsguardtech.com/	www.newsguardtech.com	USA	center	high
Al Monitor	https://www.al-monitor.com/	www.al-monitor.com	USA	leftcenter	high
Daily Hive	https://dailyhive.com/	dailyhive.com	None	leftcenter	high
Christian Headlines	https://www.christianheadlines.com/	www.christianheadlines.com	USA	right	mixed
GOPUSA	http://www.gopusa.com/	www.gopusa.com	None	right	mixed
The Marshall Project	https://www.themarshallproject.org/#.qjbbuljBK	www.themarshallproject.org	None	center	high
Knox Report	http://knoxreport.com/	knoxreport.com	None	right	mixed
Campaign Life Coalition	https://www.campaignlifecoalition.com/)	www.campaignlifecoalition.com	None	right	mixed
Save Jersey	https://savejersey.com	savejersey.com	None	right	high
The Citizen (South Africa)	https://citizen.co.za	citizen.co.za	South Africa	rightcenter	high
Them.us	https://www.them.us/	www.them.us	United States	left	high
World News	http://wn.com/	wn.com	None	center	high
Cato Institute	https://www.cato.org/	www.cato.org	USA	rightcenter	high
Manhattan Institute for Policy Research	https://www.manhattan-institute.org/	www.manhattan-institute.org	USA	right	mixed
Talking Points Memo	https://talkingpointsmemo.com	talkingpointsmemo.com	USA	left	mostly factual
Bearing Arms	https://bearingarms.com/	bearingarms.com	USA	right	mixed
Constitution Rising	https://rickwells.us/	rickwells.us	None	extremeright	mixed
The Press Democrat	http://www.pressdemocrat.com	www.pressdemocrat.com	USA	leftcenter	high
The Belfer Center for Science and International Affairs	http://www.belfercenter.org/	www.belfercenter.org	None	center	high
US Backlash	https://usbacklash.org/	usbacklash.org	USA	extremeright	questionable source
The Frontier	https://www.readfrontier.org	www.readfrontier.org	USA	leftcenter	high
The Jordan Times	http://www.jordantimes.com/	www.jordantimes.com	None	center	high
KDVR-TV	https://kdvr.com/	kdvr.com	USA	center	mostly factual
Brennan Center for Justice	https://www.brennancenter.org/	www.brennancenter.org	USA	leftcenter	high
Lubbock Avalanche Journal	None	None	USA	rightcenter	high
Impeach Trump Now	http://www.impeachdjtnow.com/	www.impeachdjtnow.com	None	left	mixed
Rappler	http://www.rappler.com/	www.rappler.com	None	left	mixed
USAFirstInfo	http://www.usafirstinformation.com/	www.usafirstinformation.com	None	extremeright	questionable source
Occupy Democrats	https://occupydemocrats.com/		USA	extremeleft	low
71 Republic	https://71republic.com/	71republic.com	USA	rightcenter	high
Shareblue	https://shareblue.com/	shareblue.com	USA	left	mixed
Russian Media Monitor	http://www.russialies.com	www.russialies.com	None	center	high
Gatestone Institute	https://www.gatestoneinstitute.org/	www.gatestoneinstitute.org	USA	extremeright	mixed
Lima Charlie News	https://limacharlienews.com	limacharlienews.com	None	center	high
Anniston Star	https://www.annistonstar.com	www.annistonstar.com	USA	leftcenter	high
Nikkei Asian Review	https://asia.nikkei.com	asia.nikkei.com	Japan	rightcenter	high
The Newly Press	http://newlypress.com	newlypress.com	None	right	mixed
The Post Millennial	https://www.thepostmillennial.com	www.thepostmillennial.com	None	right	mostly factual
Lawfare Blog	https://www.lawfareblog.com/	www.lawfareblog.com	USA	center	very high
News Chicken	http://newschicken.com/	newschicken.com	None	extremeright	questionable source
World Socialist Web Site	None	None	USA	left	mostly factual
Ghost.Report	https://ghost.report/	ghost.report	USA	right	mixed
Top Topic	https://www.toptopic.club	www.toptopic.club	Unknown	extremeright	questionable source
NTD TV (New Tang Dynasty)	https://www.ntd.com	www.ntd.com	USA	rightcenter	mixed
National Vanguard	https://nationalvanguard.org/	nationalvanguard.org	None	extremeright	questionable source
BBC	https://www.bbc.com/news	www.bbc.com	United Kingdom	leftcenter	high
GOD (Good Lord Above)	http://thegoodlordabove.com/	thegoodlordabove.com	USA	left	mixed
Z Magazine	https://zcomm.org/zmag/	zcomm.org	USA	left	high
MetroWest Daily News	https://www.metrowestdailynews.com	www.metrowestdailynews.com	USA	center	high
Independent Record (Montana)	http://helenair.com	helenair.com	USA	center	high
PutinTrump.org	http://putintrump.org/	putintrump.org	None	left	high
CrimethInc	https://crimethinc.com/	crimethinc.com	None	left	mixed
Liberal Speak	http://liberalspeak.com/	liberalspeak.com	None	extremeleft	questionable source
Alberta Views	https://albertaviews.ca	albertaviews.ca	Canada	leftcenter	high
Sharia Watch UK	https://shariawatch.org.uk	shariawatch.org.uk	United Kingdom	extremeright	questionable source
Fash the Nation	http://fashthenation.com/	fashthenation.com	USA	extremeright	very low
Edmonton Sun	http://www.edmontonsun.com/	www.edmontonsun.com	None	rightcenter	high
Harper's Magazine	https://harpers.org	harpers.org	USA	leftcenter	high
The Remnant Magazine	https://remnantnewspaper.com	remnantnewspaper.com	None	extremeright	questionable source
The Sorrentino	https://www.thesorrentino.com	www.thesorrentino.com	USA	rightcenter	mixed
Big News Network	https://www.bignewsnetwork.com	www.bignewsnetwork.com	United Arab Emirates	center	mostly factual
Front Page Live	https://www.frontpagelive.com	www.frontpagelive.com	USA	left	mostly factual
Reason	https://reason.com/	reason.com	USA	rightcenter	high
Frontpage Magazine	https://www.frontpagemag.com/	www.frontpagemag.com	USA	extremeright	low
Liberty is Viral	http://libertyisviral.com/	libertyisviral.com	None	extremeright	questionable source
American Heritage	https://www.americanheritage.com	www.americanheritage.com	USA	center	high
Catch News	http://www.catchnews.com	www.catchnews.com	India	leftcenter	mostly factual
Ars Technica	https://arstechnica.com	arstechnica.com	USA	center	high
Yankee Institute for Public Policy	https://yankeeinstitute.org	yankeeinstitute.org	USA	rightcenter	high
Left Over Rights	http://leftoverrights.com/	leftoverrights.com	None	left	mixed
Tea Party Inc	https://www.teaparty.org/	www.teaparty.org	None	extremeright	questionable source
Daily Mail	https://www.dailymail.co.uk	www.dailymail.co.uk	United Kingdom	right	low
Beliefnet	http://www.beliefnet.com	www.beliefnet.com	None	right	mixed
The Real Strategy	https://therealstrategy.com/	therealstrategy.com	None	right	mixed
Now Magazine	https://nowtoronto.com/	nowtoronto.com	None	left	high
Anti-War	https://www.antiwar.com	www.antiwar.com	USA	rightcenter	mixed
ABC News Australia	https://www.abc.net.au	www.abc.net.au	Australia	leftcenter	high
Proud Democrat	http://proudemocrat.com/	proudemocrat.com	None	left	mixed
Hanford Sentinel	https://hanfordsentinel.com	hanfordsentinel.com	USA	center	high
Boing Boing	https://boingboing.net	boingboing.net	USA	left	mixed
Bay Area Reporter	https://www.ebar.com/	www.ebar.com	None	left	high
Richochet	https://ricochet.com	ricochet.com	None	right	mixed
American Patriot Daily	https://www.americanpatriotdaily.com/	www.americanpatriotdaily.com	USA	extremeright	low
RationalWiki	https://rationalwiki.org/wiki/Main_Page	rationalwiki.org	USA	leftcenter	high
Today I Found Out	http://www.todayifoundout.com/	www.todayifoundout.com	None	center	high
Positive News	https://www.positive.news	www.positive.news	USA	leftcenter	high
Jackson Sun	https://www.jacksonsun.com	www.jacksonsun.com	USA	center	high
Malaysia Today	https://www.malaysia-today.net/	www.malaysia-today.net	Malaysia	rightcenter	mixed
Sputnik News	http://sputniknews.com/	sputniknews.com	Russia	right	very low
Socialist Standard	http://www.worldsocialism.org/spgb/	www.worldsocialism.org	None	left	high
US Info News	http://usinfonews.com/	usinfonews.com	None	extremeright	questionable source
Lozier Institute	https://lozierinstitute.org/	lozierinstitute.org	USA	right	mixed
The Hayride	https://thehayride.com/	thehayride.com	USA	right	mixed
Get Religion	https://www.getreligion.org/	www.getreligion.org	None	right	mixed
Boston.com	https://www.boston.com/	www.boston.com	USA	leftcenter	high
The Post & Email	https://www.thepostemail.com	www.thepostemail.com	USA	right	None
MSN.com (MSN News)	https://www.msn.com/	www.msn.com	USA	leftcenter	high
Lynx Media	https://lynx.media/	lynx.media	None	rightcenter	mixed
President 45 Donald Trump	http://president45donaldtrump.com/	president45donaldtrump.com	None	extremeright	questionable source
GoodNewsNetwork	http://www.goodnewsnetwork.org/	www.goodnewsnetwork.org	None	center	high
The News Lens	https://international.thenewslens.com/	international.thenewslens.com	None	rightcenter	high
Just Facts Daily	http://www.justfactsdaily.com/	www.justfactsdaily.com	USA	right	high
Stuff	https://www.stuff.co.nz/	www.stuff.co.nz	None	leftcenter	high
Independent Sentinel	https://www.independentsentinel.com	www.independentsentinel.com	USA	right	mostly factual
Maclean's Magazine	https://www.macleans.ca	www.macleans.ca	Canada	leftcenter	high
AL.com (Alabama News)	https://www.al.com/	www.al.com	USA	rightcenter	high
Popular Information	https://popular.info	popular.info	USA	left	high
The Baffler	https://thebaffler.com/	thebaffler.com	None	leftcenter	high
NewsHounds	http://www.newshounds.us/	www.newshounds.us	None	left	mixed
IHS Janes 360	http://www.janes.com/	www.janes.com	None	center	high
The Palm Beach Post	https://www.palmbeachpost.com	www.palmbeachpost.com	USA	leftcenter	high
The Wire - India	https://thewire.in/	thewire.in	India	leftcenter	high
Whatfinger	http://www.whatfinger.com/	www.whatfinger.com	USA	right	mixed
MercoPress	http://en.mercopress.com/	en.mercopress.com	None	center	high
Fortnightly Review	http://fortnightlyreview.co.uk/	fortnightlyreview.co.uk	None	rightcenter	high
I Love My Freedom	https://ilovemyfreedom.org/	ilovemyfreedom.org	USA	extremeright	very low
City and State New York	http://cityandstateny.com/	cityandstateny.com	None	center	high
Mexico Daily News	http://mexiconewsdaily.com/	mexiconewsdaily.com	Mexico	leftcenter	high
FitsNews	None	None	None	rightcenter	high
Pacific Daily News	https://www.guampdn.com/	www.guampdn.com	Guam	center	high
DiversityInc	http://www.diversityinc.com	www.diversityinc.com	None	leftcenter	high
